Champ1,Champ2,Champ3,Champ4,Champ5,Games,Wins
Brand,Gnar,Jhin,,,39,16
Brand,Jhin,Leblanc,,,62,27
Amumu,Ezreal,Yorick,,,49,31
Ahri,Amumu,Yorick,,,43,26
Ezreal,Janna,Yorick,,,38,20
Ahri,Amumu,Ezreal,,,77,39
Ahri,Ezreal,Janna,,,60,35
Ashe,Karma,Renekton,,,31,21
Ashe,Galio,Garen,,,41,16
Ashe,Garen,Karma,,,37,16
Leblanc,Morgana,Varus,,,30,15
Lux,TahmKench,Tristana,,,33,14
Mel,Tristana,Zac,,,36,15
Lux,Tristana,Zac,,,44,25
Lux,Mel,Tristana,,,84,43
Mel,Nocturne,Tristana,,,80,42
Leona,Mel,Nocturne,,,35,15
Nocturne,Syndra,Tristana,,,46,20
Leona,Syndra,Tristana,,,46,24
Caitlyn,Ekko,Shaco,,,57,27
Caitlyn,Ekko,Velkoz,,,39,20
Caitlyn,Katarina,Shaco,,,92,50
Caitlyn,Katarina,Velkoz,,,39,21
Kayle,Warwick,Yasuo,,,48,28
Kayle,Lulu,Yasuo,,,51,24
Kayle,Lulu,Twitch,,,49,25
Twitch,Warwick,Yasuo,,,45,16
Lulu,Warwick,Yasuo,,,74,39
Lulu,Twitch,Warwick,,,80,34
Kayle,LeeSin,Lux,,,50,26
Jinx,Kayle,LeeSin,,,68,40
Jinx,Kayle,Lux,,,88,46
Brand,Jinx,Kayle,,,41,24
Jinx,LeeSin,Lux,,,170,80
Brand,LeeSin,Lux,,,32,10
Brand,Jinx,LeeSin,,,66,32
Anivia,Darius,Jhin,,,34,14
Darius,Jhin,Malzahar,,,153,83
Darius,Malzahar,Nautilus,,,68,37
Darius,Jhin,Nautilus,,,138,53
Jhin,Malzahar,Nautilus,,,94,45
FiddleSticks,Malphite,Yone,,,36,12
FiddleSticks,Xerath,Yone,,,31,19
Malphite,Xerath,Yone,,,31,17
LeeSin,Xayah,Yasuo,,,43,19
LeeSin,Thresh,Yasuo,,,131,53
Sylas,Thresh,Yasuo,,,44,23
Thresh,Xayah,Yasuo,,,39,11
LeeSin,Sylas,Xayah,,,78,37
LeeSin,Thresh,Xayah,,,43,21
Sylas,Thresh,Xayah,,,51,24
Akali,Ashe,Mel,,,33,17
Leblanc,Lucian,Mordekaiser,,,41,21
Karma,Lucian,Mordekaiser,,,34,15
Darius,Leblanc,Lucian,,,69,28
Briar,Jhin,Malphite,,,60,34
Annie,Jhin,Viego,,,39,20
Jhin,Malphite,Viego,,,118,68
Leblanc,Nautilus,Vi,,,35,15
Leona,Sett,Tristana,,,67,32
Ezreal,Kayn,Riven,,,35,12
Ezreal,Kayn,Sion,,,60,32
Kayn,Nami,Sion,,,36,17
Ezreal,Kayn,Nami,,,72,41
Ezreal,Nami,Sion,,,54,25
Ekko,Lux,Nasus,,,38,16
Lux,MissFortune,Nasus,,,133,68
Lux,Nasus,Yorick,,,51,31
MissFortune,Nasus,Zyra,,,69,36
MissFortune,Nasus,Yorick,,,50,28
Lux,MissFortune,Zyra,,,61,37
Lux,Yorick,Zyra,,,38,24
MissFortune,Yorick,Zyra,,,111,75
Akali,MasterYi,Seraphine,,,41,22
Jhin,Lissandra,Yorick,,,59,38
Jhin,LeeSin,Lissandra,,,42,25
Jhin,LeeSin,Leona,,,81,36
Jhin,Leona,Lissandra,,,34,18
Irelia,KogMaw,Lulu,,,34,13
Pantheon,Singed,Tristana,,,33,18
Draven,Mordekaiser,Yone,,,32,17
Mordekaiser,Seraphine,Yone,,,49,27
Amumu,Draven,Yone,,,44,19
Amumu,Seraphine,Yone,,,47,21
MissFortune,Pantheon,Zed,,,96,48
MissFortune,Nami,Pantheon,,,51,21
Elise,MissFortune,Zed,,,49,28
MissFortune,Nami,Zed,,,58,26
Ashe,Mordekaiser,Veigar,,,45,27
Ashe,Shyvana,Yone,,,31,17
Ashe,Veigar,Yone,,,45,22
Aatrox,Jinx,Sejuani,,,30,12
Aatrox,Jinx,Morgana,,,87,48
Aatrox,Jinx,Seraphine,,,37,19
Ambessa,Jhin,Leblanc,,,40,24
Kayn,Leblanc,Seraphine,,,34,17
Jhin,Kayn,Seraphine,,,91,41
Jhin,Leblanc,Seraphine,,,52,32
Aatrox,LeeSin,Vladimir,,,31,14
Aatrox,LeeSin,Morgana,,,66,29
LeeSin,Varus,Vladimir,,,59,29
LeeSin,Morgana,Varus,,,44,20
Ashe,Gwen,Yorick,,,48,29
Ashe,Gwen,Malzahar,,,43,17
Malzahar,Naafiri,Yuumi,,,33,11
Kayle,Nami,Yasuo,,,36,17
Jhin,Kayle,Nami,,,61,36
Diana,Nami,Yasuo,,,128,67
Jax,Lux,Zed,,,76,40
Jax,Lucian,Zed,,,48,23
Jax,Lulu,Zed,,,51,27
Jax,Lucian,Lulu,,,39,18
DrMundo,Kaisa,Shaco,,,38,13
Akali,DrMundo,Kaisa,,,39,15
Akali,Kaisa,Shaco,,,80,36
Ashe,Lulu,Warwick,,,76,39
Ashe,Ekko,Warwick,,,45,24
Naafiri,Varus,Viktor,,,53,24
Naafiri,Thresh,Viktor,,,55,22
Naafiri,Thresh,Varus,,,56,28
Kaisa,Senna,Teemo,,,51,20
Akali,Kaisa,Lillia,,,37,20
Kaisa,Lillia,Senna,,,32,18
Akali,Kaisa,Senna,,,41,18
Caitlyn,Kayle,Lulu,,,30,12
Jhin,Mel,Ryze,,,38,13
Darius,Nami,Yone,,,49,30
Kaisa,Shyvana,Yone,,,50,17
Kaisa,Nami,Yone,,,89,48
Aatrox,Diana,Yasuo,,,111,60
Aatrox,Ashe,Diana,,,67,38
Aatrox,Diana,Nautilus,,,46,22
Aatrox,Ashe,Yasuo,,,55,36
Aatrox,Nautilus,Yasuo,,,58,30
Aatrox,Ashe,Nautilus,,,53,28
Diana,Nautilus,Yasuo,,,153,77
Malzahar,Mordekaiser,Naafiri,,,41,18
MissFortune,Mordekaiser,Naafiri,,,114,62
Malzahar,MissFortune,Mordekaiser,,,101,70
MissFortune,Mordekaiser,Teemo,,,37,23
Malzahar,MissFortune,Naafiri,,,75,44
Malzahar,Naafiri,Teemo,,,34,19
Malzahar,MissFortune,Teemo,,,116,59
Karma,MasterYi,Yone,,,33,16
Jinx,Karma,MasterYi,,,63,21
Jinx,Karma,Yone,,,88,43
Jinx,MasterYi,Yone,,,144,83
Swain,Teemo,Yasuo,,,55,28
Caitlyn,DrMundo,Veigar,,,71,37
Caitlyn,Hecarim,Veigar,,,34,15
Jinx,Kayle,Warwick,,,80,38
Jinx,Kayle,Leblanc,,,36,20
Jinx,Kayle,Malphite,,,30,14
Jinx,Leblanc,Warwick,,,90,46
Leblanc,Malphite,Warwick,,,34,18
Jinx,Malphite,Warwick,,,91,51
Jinx,Leblanc,Malphite,,,54,23
Jinx,MasterYi,Yorick,,,71,41
Jinx,MasterYi,Vladimir,,,62,33
MissFortune,Quinn,Shaco,,,39,16
MissFortune,Quinn,Yone,,,37,18
MissFortune,Shaco,Yone,,,179,89
MissFortune,Morgana,Shaco,,,100,45
MissFortune,Morgana,Yone,,,195,99
Ashe,MasterYi,Yasuo,,,95,53
Lux,MasterYi,Yasuo,,,148,61
Ashe,Lux,MasterYi,,,111,62
Nasus,Shaco,Zed,,,34,12
Jhin,Nasus,Shaco,,,78,40
Morgana,Nasus,Shaco,,,33,17
Jhin,Morgana,Nasus,,,76,43
Jhin,Shaco,Zed,,,128,60
Morgana,Shaco,Zed,,,44,21
Jhin,Morgana,Zed,,,137,63
Malzahar,MissFortune,XinZhao,,,49,23
Lulu,Malzahar,XinZhao,,,32,11
Amumu,Malzahar,MissFortune,,,81,43
Amumu,Lulu,MissFortune,,,36,17
Lulu,Malzahar,MissFortune,,,47,25
Caitlyn,Diana,Yone,,,172,94
Aurora,Caitlyn,Yone,,,36,13
Darius,Gragas,Jhin,,,35,18
Azir,Darius,Jhin,,,31,12
Darius,Jhin,Soraka,,,56,28
Heimerdinger,MissFortune,Viego,,,52,28
MissFortune,Naafiri,Viego,,,36,14
Karma,MissFortune,Viego,,,69,32
Karma,MissFortune,Naafiri,,,50,27
Akali,Darius,Yorick,,,36,23
Darius,Morgana,Yorick,,,34,17
Akali,Darius,Morgana,,,59,28
Akali,Morgana,Yorick,,,50,27
Ezreal,Gnar,Zed,,,51,22
Diana,Ezreal,Velkoz,,,50,28
Ezreal,Velkoz,Zed,,,66,30
Garen,Kayn,Samira,,,35,14
Amumu,MissFortune,Tryndamere,,,43,25
Lux,MissFortune,Tryndamere,,,115,53
Amumu,Lux,MissFortune,,,196,101
Amumu,MissFortune,Velkoz,,,47,29
Lux,MissFortune,Velkoz,,,45,26
Aatrox,Jhin,XinZhao,,,59,32
Aatrox,Thresh,XinZhao,,,36,19
Aatrox,Jhin,Syndra,,,42,21
Aatrox,Syndra,Thresh,,,38,21
Aatrox,Jhin,Thresh,,,117,62
Jhin,Syndra,XinZhao,,,40,20
Jhin,Thresh,XinZhao,,,84,44
Jinx,Quinn,Yone,,,35,13
Briar,Mel,Yone,,,31,14
Briar,Jinx,Mel,,,49,22
Jinx,Mel,Yone,,,116,50
Caitlyn,Talon,Yone,,,59,26
Caitlyn,Chogath,Yone,,,94,36
Garen,Naafiri,Soraka,,,33,20
Garen,Smolder,Yasuo,,,36,17
MissFortune,Vladimir,Volibear,,,63,35
Leblanc,MissFortune,Volibear,,,67,37
Ekko,Garen,Kaisa,,,70,33
Ashe,Kayn,Pyke,,,48,22
Ezreal,Malphite,Yorick,,,78,43
Ezreal,Teemo,Yorick,,,85,48
Lux,Teemo,Yorick,,,78,49
Lux,Malphite,Teemo,,,35,22
Ezreal,Lux,Teemo,,,163,70
Jhin,MasterYi,Singed,,,30,18
Jhin,Singed,Yone,,,53,27
MasterYi,Soraka,Yone,,,30,15
Jhin,MasterYi,Soraka,,,35,14
Leona,Pantheon,Yasuo,,,30,13
Caitlyn,Leona,Yasuo,,,84,28
Lux,Tristana,Vi,,,85,42
Thresh,Tristana,Vi,,,83,40
Diana,Kaisa,Quinn,,,30,14
Diana,Kaisa,Zed,,,91,35
Diana,Lulu,Zed,,,57,33
Diana,Kaisa,Lulu,,,84,45
Kaisa,Lulu,Zed,,,157,81
Ambessa,Kaisa,Naafiri,,,39,17
Ambessa,Kaisa,Leona,,,43,16
Kaisa,Naafiri,Talon,,,34,18
Kaisa,Leona,Naafiri,,,113,47
Kaisa,Leona,Talon,,,53,28
Ezreal,Kayn,Tryndamere,,,36,15
Ezreal,Tryndamere,Viktor,,,37,18
Ezreal,Thresh,Tryndamere,,,42,16
Ezreal,Kayn,Viktor,,,69,31
Kayn,Thresh,Viktor,,,47,28
Ezreal,Kayn,Thresh,,,62,33
Ezreal,Thresh,Viktor,,,94,55
Irelia,Lucian,Zed,,,44,22
Ahri,Irelia,Lucian,,,53,23
Braum,Irelia,Lucian,,,72,32
Ahri,Lucian,Zed,,,55,25
Braum,Lucian,Zed,,,95,53
Kaisa,Warwick,Yorick,,,69,33
Kaisa,Rell,Warwick,,,47,27
FiddleSticks,Volibear,Yone,,,36,23
FiddleSticks,MissFortune,Volibear,,,32,17
MissFortune,Volibear,Yone,,,156,83
Nautilus,Volibear,Yone,,,71,35
MissFortune,Nautilus,Volibear,,,103,57
FiddleSticks,MissFortune,Yone,,,129,63
FiddleSticks,MissFortune,Nautilus,,,40,22
MissFortune,Nautilus,Yone,,,172,77
Jinx,Sylas,Udyr,,,34,14
Caitlyn,Malphite,Malzahar,,,72,41
Caitlyn,Malzahar,Rengar,,,30,18
Caitlyn,Morgana,Rengar,,,42,24
Caitlyn,Malzahar,Morgana,,,145,79
Gwen,Jinx,Sett,,,51,24
Jinx,Neeko,Sett,,,53,30
Gwen,Jinx,Qiyana,,,36,19
Jhin,Mel,Shen,,,54,28
Jhin,Mel,Nami,,,73,42
Gwen,Jinx,Katarina,,,58,32
Gwen,Jinx,Sona,,,32,15
Jinx,Katarina,Shaco,,,60,35
Jinx,Shaco,Sona,,,35,15
Brand,Kayn,Teemo,,,37,21
Caitlyn,Teemo,Zac,,,35,15
Brand,Caitlyn,Teemo,,,62,34
Lucian,MasterYi,Pantheon,,,35,17
MasterYi,Mel,Pantheon,,,40,23
Caitlyn,Darius,Vi,,,92,41
Darius,Thresh,Vi,,,44,25
Caitlyn,Darius,Diana,,,119,58
Darius,Diana,Thresh,,,67,41
Caitlyn,Diana,Vi,,,52,31
Caitlyn,Diana,Thresh,,,140,74
Mordekaiser,Pyke,Zed,,,49,20
Mordekaiser,Pyke,Yone,,,58,34
Mordekaiser,Pyke,Samira,,,34,19
Pyke,Samira,Zed,,,37,13
Kaisa,Rammus,Yasuo,,,48,25
Kaisa,Yasuo,Yone,,,156,73
Brand,Yasuo,Yone,,,55,30
Kaisa,Rammus,Yone,,,36,14
Brand,Kaisa,Yone,,,103,48
Jinx,Shen,Viego,,,47,20
Lulu,Shen,Viego,,,31,13
Jinx,Orianna,Viego,,,53,25
Lulu,Orianna,Viego,,,43,20
Jinx,Lulu,Orianna,,,163,83
Aatrox,Malzahar,Shaco,,,44,21
Aatrox,Lux,Malzahar,,,48,23
Lux,Malzahar,Shaco,,,76,36
Amumu,Caitlyn,Gangplank,,,37,15
Caitlyn,Gangplank,Morgana,,,60,28
Jinx,Lux,Rammus,,,55,27
AurelionSol,Jinx,Lux,,,34,20
Varus,Yasuo,Yorick,,,65,30
Jhin,Sett,Vladimir,,,53,31
Jhin,Soraka,Vladimir,,,35,22
Jhin,Shaco,Soraka,,,45,25
Jhin,Sett,Soraka,,,51,22
Kayn,Mordekaiser,Zyra,,,39,19
Jhin,Kayn,Zyra,,,125,67
Jhin,Mordekaiser,Zyra,,,108,62
Lucian,Nami,Nasus,,,156,77
Akali,Lucian,Pantheon,,,49,21
Lucian,Nami,Pantheon,,,179,87
Thresh,Viktor,XinZhao,,,52,33
Thresh,Vayne,XinZhao,,,32,17
Thresh,Vayne,Viktor,,,49,20
Jax,Malzahar,Nautilus,,,31,12
Caitlyn,Diana,Malzahar,,,42,23
Caitlyn,Malzahar,Sylas,,,31,10
Caitlyn,Diana,Mel,,,94,44
Caitlyn,Mel,Sylas,,,78,40
Akali,Ashe,Pantheon,,,53,30
Ashe,Irelia,Pantheon,,,38,19
Gragas,Lucian,Nami,,,125,73
Lucian,Naafiri,TwistedFate,,,31,16
Caitlyn,Darius,Khazix,,,69,30
Caitlyn,Darius,Malphite,,,84,44
Caitlyn,Darius,Seraphine,,,85,33
Caitlyn,Khazix,Malphite,,,55,27
Jinx,Volibear,Zed,,,111,49
Nautilus,Volibear,Zed,,,61,38
Jinx,Nautilus,Volibear,,,108,53
Jinx,Nautilus,Udyr,,,33,18
Jinx,Nautilus,Zed,,,118,57
Briar,Jhin,Yasuo,,,64,31
Briar,Jhin,Malzahar,,,60,41
Jax,Leblanc,Lucian,,,43,26
Camille,Ezreal,Zed,,,35,16
Akali,Ezreal,Zed,,,83,43
Akali,Ezreal,Nami,,,57,34
JarvanIV,Leblanc,Tristana,,,35,14
JarvanIV,Leblanc,Lux,,,38,14
JarvanIV,Lux,Tristana,,,46,28
Leblanc,Lux,Tristana,,,48,22
Darius,Ezreal,Zed,,,133,49
Braum,Darius,Zed,,,30,18
Braum,Darius,Ezreal,,,51,29
Ezreal,Heimerdinger,Zed,,,40,18
Braum,Ezreal,Zed,,,61,26
Caitlyn,Malzahar,Teemo,,,100,60
Caitlyn,Poppy,Teemo,,,44,26
Caitlyn,Malzahar,Poppy,,,57,30
Blitzcrank,Kayn,Teemo,,,43,22
Jhin,Talon,Teemo,,,71,38
Blitzcrank,Jhin,Teemo,,,56,20
Ashe,Brand,Mordekaiser,,,33,16
Darius,JarvanIV,Jhin,,,51,25
Darius,Jhin,Vladimir,,,65,31
JarvanIV,Jhin,Vladimir,,,43,21
JarvanIV,Jhin,Nami,,,44,27
Hecarim,Jinx,Mordekaiser,,,39,17
Jinx,Malphite,Mordekaiser,,,33,20
Hecarim,Jinx,Malphite,,,36,14
Hecarim,Jinx,Thresh,,,58,25
Caitlyn,Malzahar,Viego,,,128,65
Lux,Malzahar,Viego,,,72,37
Caitlyn,Lux,Viego,,,358,183
Caitlyn,JarvanIV,Malzahar,,,66,34
JarvanIV,Lux,Malzahar,,,36,17
Caitlyn,Lux,Malzahar,,,232,130
Garen,Kayn,Milio,,,31,15
Ahri,Garen,Jinx,,,182,108
Ahri,Garen,Milio,,,44,24
Garen,Jinx,Milio,,,89,45
Ahri,Kayn,Milio,,,58,23
Jinx,Kayn,Milio,,,89,41
Kaisa,MasterYi,Yorick,,,54,28
Kaisa,Vladimir,Yorick,,,66,31
Kaisa,MasterYi,Vladimir,,,38,14
Kaisa,MasterYi,Senna,,,33,16
Brand,Garen,MissFortune,,,90,50
Garen,MissFortune,Yasuo,,,149,76
Garen,MissFortune,Neeko,,,67,32
Brand,MissFortune,Yasuo,,,115,52
MissFortune,Neeko,Yasuo,,,79,35
Ashe,Vi,Yasuo,,,70,32
Mordekaiser,Vi,Yasuo,,,64,29
Ashe,Vi,Zyra,,,46,25
Ashe,Mordekaiser,Vi,,,55,25
Ashe,Yasuo,Zyra,,,58,27
Ashe,Mordekaiser,Yasuo,,,82,38
Mordekaiser,Yasuo,Zyra,,,69,39
Ashe,Mordekaiser,Zyra,,,39,17
Shaco,Yone,Yorick,,,42,26
Lucian,Shaco,Yorick,,,64,38
Karthus,Lucian,Yone,,,31,20
Lucian,Shaco,Yone,,,101,45
Katarina,Vayne,Volibear,,,35,16
Leblanc,Vayne,Volibear,,,36,19
Katarina,MissFortune,Volibear,,,61,24
Garen,MasterYi,Zed,,,40,25
Garen,MasterYi,Sona,,,30,15
Garen,Kaisa,Sona,,,33,20
Kaisa,MasterYi,Zed,,,75,29
Fiora,Jinx,Morgana,,,38,23
Jinx,Volibear,Yasuo,,,148,75
Morgana,Volibear,Yasuo,,,98,57
Jinx,Morgana,Volibear,,,114,63
Jinx,Morgana,Yasuo,,,174,88
Jax,Kayn,Sylas,,,45,24
Jax,Senna,Sylas,,,30,15
Jax,MissFortune,Senna,,,32,16
Kayn,MissFortune,Sylas,,,129,61
Kayn,MissFortune,Senna,,,60,18
MissFortune,Senna,Sylas,,,56,29
Malzahar,Mordekaiser,Shaco,,,39,23
Jinx,Mordekaiser,Shaco,,,110,64
Jinx,Malzahar,Mordekaiser,,,80,46
Jinx,Mordekaiser,Teemo,,,38,17
Jinx,Malzahar,Shaco,,,102,63
Malzahar,Shaco,Teemo,,,47,32
Jinx,Malzahar,Teemo,,,94,58
Jhin,Orianna,Sion,,,34,18
Ashe,Kayle,Naafiri,,,37,21
Irelia,Karma,Naafiri,,,34,19
Ambessa,Kayn,MissFortune,,,33,15
Ambessa,Leona,MissFortune,,,32,18
Anivia,Kayn,MissFortune,,,33,17
Kayn,Leona,MissFortune,,,109,59
Darius,Kaisa,Malzahar,,,96,55
Kaisa,Nautilus,Rammus,,,39,21
Khazix,Lulu,Malphite,,,31,17
Lulu,Malphite,Twitch,,,79,37
Lulu,Orianna,Twitch,,,38,17
Ezreal,Irelia,MasterYi,,,58,23
Ezreal,MasterYi,Yuumi,,,64,26
Gwen,Warwick,Yasuo,,,59,27
Caitlyn,Gwen,Sona,,,30,15
Caitlyn,Sona,Yasuo,,,43,23
Gwen,Jax,Jinx,,,36,16
Gwen,Jinx,Teemo,,,64,29
Gwen,Jinx,Morgana,,,84,47
Leblanc,Lucian,Naafiri,,,58,29
Chogath,JarvanIV,Kaisa,,,43,27
JarvanIV,Kaisa,Viktor,,,43,24
JarvanIV,Kaisa,Pyke,,,62,36
Kaisa,Pyke,Viktor,,,100,51
Diana,Sett,Yone,,,47,29
Diana,Morgana,Sett,,,46,30
Mel,Sett,Yone,,,56,25
Morgana,Sett,Yone,,,49,19
Diana,Morgana,Yone,,,82,41
Mel,Morgana,Yone,,,52,28
Jinx,Malzahar,Pantheon,,,101,53
Jinx,Morgana,Pantheon,,,61,27
DrMundo,Mel,Nautilus,,,35,17
MasterYi,Mordekaiser,Vayne,,,32,20
MasterYi,Mel,Vayne,,,59,35
Mel,Mordekaiser,Vayne,,,41,26
Garen,Gwen,Yone,,,33,9
Garen,Gwen,Thresh,,,36,22
Corki,Gwen,Yone,,,32,14
Caitlyn,Kayn,Riven,,,40,20
Caitlyn,Kayn,Zyra,,,86,48
Akali,Draven,Nocturne,,,34,15
Garen,Lulu,Shaco,,,55,22
Garen,Lulu,Vayne,,,116,63
Brand,Gwen,Yasuo,,,43,19
Brand,Smolder,Yasuo,,,41,17
Ekko,Kaisa,Volibear,,,45,25
Kaisa,Morgana,Volibear,,,76,37
Graves,Kaisa,Morgana,,,39,19
Darius,Ezreal,Vi,,,66,27
Darius,Diana,Ezreal,,,86,36
Darius,Diana,Soraka,,,35,25
Lux,Ornn,Viego,,,43,23
Ezreal,Lux,Viego,,,200,99
Ezreal,Viego,Zilean,,,34,17
Caitlyn,Hecarim,Yorick,,,39,22
Thresh,Vladimir,Yorick,,,39,22
Caitlyn,Hecarim,Vladimir,,,30,13
Caitlyn,Hecarim,Thresh,,,38,16
Caitlyn,Thresh,Vladimir,,,82,46
Elise,Garen,MissFortune,,,43,23
Garen,Leblanc,Pyke,,,37,20
Garen,MissFortune,Pyke,,,80,42
Leblanc,MissFortune,Pyke,,,41,17
Brand,Jhin,Sion,,,60,23
Brand,Briar,Jhin,,,38,21
Lux,Shaco,Viktor,,,48,23
Nautilus,Shaco,Viktor,,,41,22
Jhin,Lux,Viktor,,,141,65
Jhin,Nautilus,Viktor,,,71,33
Lux,Nautilus,Shaco,,,30,15
Jhin,Nautilus,Shaco,,,86,31
Jhin,Lux,Nautilus,,,77,42
Ezreal,Fiora,Malzahar,,,47,21
Braum,Ezreal,Malzahar,,,34,18
Caitlyn,XinZhao,Yasuo,,,75,38
Alistar,Caitlyn,Yasuo,,,73,34
Darius,Malzahar,MasterYi,,,39,21
Darius,MasterYi,MissFortune,,,121,67
Darius,Malzahar,MissFortune,,,129,68
Darius,Malzahar,Mel,,,34,15
Darius,Mel,MissFortune,,,174,85
MasterYi,Mel,MissFortune,,,121,58
Malzahar,Mel,MissFortune,,,66,25
Garen,Malzahar,Varus,,,32,17
Caitlyn,Teemo,TwistedFate,,,42,22
Caitlyn,Seraphine,Teemo,,,64,30
Aatrox,Jinx,Nunu,,,32,14
Kayn,Mordekaiser,Yone,,,82,39
Lux,Mordekaiser,Yone,,,133,70
Kayn,Lux,Yone,,,188,89
Caitlyn,LeeSin,Volibear,,,59,22
Caitlyn,Ekko,Volibear,,,64,36
Caitlyn,Morgana,Volibear,,,173,96
Caitlyn,Ekko,LeeSin,,,48,23
Caitlyn,LeeSin,Morgana,,,175,85
Ashe,Darius,Naafiri,,,74,36
Ashe,Darius,Velkoz,,,44,21
Ashe,Katarina,Naafiri,,,35,12
Ashe,Naafiri,Velkoz,,,42,19
Sylas,Tristana,Yasuo,,,55,22
Alistar,Sylas,Yasuo,,,39,16
Alistar,Sylas,Tristana,,,63,34
Alistar,Tristana,Yasuo,,,66,35
Teemo,Thresh,XinZhao,,,31,19
Ahri,Garen,Khazix,,,41,22
Garen,Khazix,MissFortune,,,49,17
Garen,Khazix,Morgana,,,31,15
Ahri,Garen,Morgana,,,80,44
Garen,MissFortune,Morgana,,,145,75
Ahri,Khazix,MissFortune,,,77,41
Ahri,Khazix,Morgana,,,32,18
Khazix,MissFortune,Morgana,,,45,29
Gangplank,Kaisa,Viego,,,59,30
Tristana,Warwick,Yasuo,,,106,53
Blitzcrank,Warwick,Yasuo,,,54,24
Amumu,Tristana,Yasuo,,,80,31
Blitzcrank,Tristana,Yasuo,,,73,32
Ashe,Gwen,LeeSin,,,45,23
Kayle,MissFortune,Yasuo,,,70,34
Karthus,MissFortune,Yasuo,,,37,18
MissFortune,Sona,Yasuo,,,53,28
Jhin,MasterYi,Teemo,,,100,65
Jhin,Poppy,Teemo,,,44,20
Jhin,MasterYi,Naafiri,,,35,18
Jhin,MasterYi,Poppy,,,48,23
Diana,Mordekaiser,Naafiri,,,33,18
Diana,MissFortune,Mordekaiser,,,84,48
Ashe,Diana,Mordekaiser,,,49,22
Ashe,MissFortune,Mordekaiser,,,35,13
Diana,MissFortune,Naafiri,,,66,35
Ashe,Diana,Naafiri,,,45,19
Ashe,MissFortune,Naafiri,,,44,23
Ashe,Diana,MissFortune,,,33,14
Amumu,DrMundo,Jhin,,,32,14
Ahri,DrMundo,Jhin,,,112,66
Ahri,DrMundo,Seraphine,,,47,25
DrMundo,Jhin,Seraphine,,,47,23
Ahri,Amumu,Seraphine,,,35,18
Amumu,Jhin,Seraphine,,,51,20
Ahri,Jhin,Seraphine,,,80,45
Briar,MissFortune,Teemo,,,51,32
Malphite,MissFortune,Teemo,,,85,43
Lulu,MissFortune,Teemo,,,40,20
Briar,Malphite,MissFortune,,,47,25
Briar,Lulu,MissFortune,,,30,13
Lulu,Malphite,MissFortune,,,43,21
Ezreal,Heimerdinger,Warwick,,,36,21
Brand,Warwick,Zed,,,50,29
Brand,Ezreal,Warwick,,,88,51
Brand,Ezreal,Zed,,,89,45
Akali,Sett,Viego,,,51,24
Jhin,Sett,Viego,,,127,66
Lux,Sett,Viego,,,120,60
Akali,Jhin,Sett,,,82,39
Akali,Lux,Sett,,,73,40
Akali,Jhin,Viego,,,128,61
Akali,Lux,Viego,,,96,47
Jhin,Lux,Viego,,,267,139
Malzahar,MissFortune,Tryndamere,,,44,25
MissFortune,Mordekaiser,Yuumi,,,42,21
Kayn,Sion,Veigar,,,30,20
Kayn,Lucian,Sion,,,35,10
Kayn,Lux,Sion,,,78,39
Lucian,Lux,Sion,,,55,27
Kayn,Lucian,Veigar,,,45,25
Garen,Kaisa,Nocturne,,,88,38
Garen,Kaisa,Lissandra,,,31,18
Garen,Kaisa,Pyke,,,76,43
Kaisa,Lissandra,Pyke,,,35,20
Kayn,Leblanc,Sion,,,35,18
Leblanc,Lux,Sion,,,37,16
Lux,Sion,Vayne,,,36,17
Kayn,Leblanc,Vayne,,,43,24
Kayn,Leblanc,Lux,,,57,29
Leblanc,Lux,Vayne,,,42,20
Aatrox,Jinx,Vex,,,33,18
Aatrox,Jinx,Nautilus,,,88,45
Gnar,Jhin,Pantheon,,,37,21
Amumu,Jhin,Pantheon,,,63,39
Ahri,Viego,Volibear,,,47,26
Ezreal,Viego,Volibear,,,66,33
Ahri,Ezreal,Volibear,,,138,65
Ahri,Maokai,Viego,,,36,16
Ezreal,Maokai,Viego,,,35,18
Ahri,Ezreal,Maokai,,,54,27
Ahri,Kaisa,Zed,,,72,42
Kaisa,Xerath,Zed,,,58,26
Caitlyn,Udyr,Yone,,,39,22
Caitlyn,Mel,Yone,,,175,91
Caitlyn,Heimerdinger,Yone,,,58,30
Caitlyn,Mel,Udyr,,,38,19
Jhin,Shen,Volibear,,,49,17
Leona,Volibear,Zed,,,40,24
Jhin,Leona,Volibear,,,78,39
Jhin,Leona,Zed,,,90,52
Diana,Samira,Warwick,,,30,14
Jinx,Nocturne,Trundle,,,37,20
Alistar,Jinx,Nocturne,,,54,20
Jhin,Urgot,Zyra,,,63,39
Ashe,Aurora,Braum,,,35,14
Ashe,Shaco,Vladimir,,,44,23
Ashe,Braum,Shaco,,,74,41
Kayn,Mel,Mordekaiser,,,79,43
Kayn,Malphite,Mel,,,64,33
Akali,Kaisa,XinZhao,,,81,39
Akali,Nautilus,XinZhao,,,42,21
Kaisa,Nautilus,Warwick,,,148,56
Shaco,Sion,Zed,,,31,12
Sion,Tristana,Zed,,,49,22
Nautilus,Sion,Tristana,,,51,24
Shaco,Tristana,Zed,,,76,35
Ekko,Jhin,Poppy,,,34,19
Jhin,Leblanc,Poppy,,,36,14
Ekko,Jhin,Leblanc,,,45,22
Ekko,Jhin,Nami,,,74,41
Belveth,Ezreal,Lux,,,32,13
