Name,Role,Games,Wins,Losses,WR
Jhin,UTILITY,296,125,171,42.23
Jhin,JUNGLE,122,21,101,17.21
Jhin,,30,0,30,0
Lux,UTILITY,25641,12710,12931,49.57
Lux,MIDDLE,12072,6307,5765,52.24
Lux,BOTTOM,2746,1424,1322,51.86
Lux,JUNGLE,64,31,33,48.44
Lux,,51,3,48,5.88
Lux,TOP,328,138,190,42.07
Mordekaiser,TOP,19313,10169,9144,52.65
Mordekaiser,MIDDLE,664,383,281,57.68
Mordekaiser,UTILITY,370,162,208,43.78
Mordekaiser,JUNGLE,2561,1353,1208,52.83
Mordekaiser,BOTTOM,468,221,247,47.22
Mordekaiser,,49,0,49,0
Qiyana,JUNGLE,806,364,442,45.16
Qiyana,MIDDLE,4144,1923,2221,46.4
Qiyana,TOP,257,71,186,27.63
Qiyana,BOTTOM,58,29,29,50
Qiyana,UTILITY,112,37,75,33.04
Qiyana,,5,0,5,0
Irelia,MIDDLE,6770,3373,3397,49.82
Irelia,TOP,6442,3069,3373,47.64
Irelia,BOTTOM,285,123,162,43.16
Irelia,JUNGLE,75,45,30,60
Irelia,UTILITY,49,15,34,30.61
Irelia,,13,0,13,0
Ezreal,BOTTOM,22975,10861,12114,47.27
Ezreal,MIDDLE,1525,658,867,43.15
Ezreal,TOP,277,108,169,38.99
Ezreal,JUNGLE,299,109,190,36.45
Ezreal,,41,0,41,0
Ezreal,UTILITY,291,133,158,45.7
Rell,UTILITY,7670,3824,3846,49.86
Rell,MIDDLE,47,18,29,38.3
Rell,TOP,271,98,173,36.16
Rell,,6,0,6,0
Rell,BOTTOM,15,3,12,20
Rell,JUNGLE,73,17,56,23.29
Sejuani,JUNGLE,4702,2422,2280,51.51
Sejuani,TOP,334,157,177,47.01
Sejuani,UTILITY,318,178,140,55.97
Sejuani,MIDDLE,61,45,16,73.77
Sejuani,BOTTOM,38,10,28,26.32
Sejuani,,5,0,5,0
Pantheon,UTILITY,8407,4201,4206,49.97
Pantheon,JUNGLE,8313,4094,4219,49.25
Pantheon,TOP,5188,2633,2555,50.75
Pantheon,MIDDLE,2484,1267,1217,51.01
Pantheon,BOTTOM,565,279,286,49.38
