Name,Games,Wins,Losses,Bans,WR
Nautilus,57772,28188,29584,70985,48.79
MasterYi,58813,29805,29008,120337,50.68
Darius,94727,47697,47030,174025,50.35
Sylas,66536,32508,34028,59022,48.86
Shaco,47548,23226,24322,205069,48.85
Vayne,62026,31760,30266,46082,51.2
Fizz,28797,14349,14448,50058,49.83
Chogath,63337,32489,30848,32128,51.3
Mel,105276,50542,54734,470656,48.01
Ashe,99821,49439,50382,45299,49.53
Sett,79232,40999,38233,37252,51.75
